,Unnamed: 0,name,id,class,mass,fall,year,reclat,reclong,massL
2870,2938,Sarir Tibesti ,23185,H5,6697.0,Found,1994,24.297,18.41433,1.0
2871,2939,Sarratola,23186,L5,265.0,Found,1948,24.4,81.88333,1.0
2872,2940,Savannah,23189,"Iron, IIIAB",60000.0,Found,1923,35.16667,-88.18333,3.0
2873,2941,Sawtooth Knob,23191,"Iron, IIAB",18.54,Found,2002,40.86217,-118.54167,1.0
2874,2942,Sawyer,53806,H4,8100.0,Found,2006,37.52392,-98.62993,1.0
2875,2943,Sayh al Uhaymir ,23193,L5,450000.0,Found,2000,20.51667,56.66667,7.0
2876,2944,Schaap-Kooi,23456,H4,2700.0,Found,1910,-32.08333,21.33333,1.0
2877,2945,Schwetz,23461,"Iron, IIIAB",21500.0,Found,1850,53.4,18.45,3.0
2878,2946,Scott City,23462,H5,2135.0,Found,1905,38.46667,-100.93333,1.0
2879,2947,Scott Glacier ,23463,L4,311.5,Found,1998,-87.03333,-148.0,1.0
2880,2948,Scottsville,23466,"Iron, IIAB",10000.0,Found,1867,36.76667,-86.16667,1.0
2881,2949,Scurry,23468,H5,118000.0,Found,1937,32.5,-101.0,7.0
2882,2950,Seagraves,23469,H4,13000.0,Found,1962,32.93333,-102.58333,3.0
2883,2951,Seagraves (b),23470,H5,4600.0,Found,1976,32.91722,-102.5,1.0
2884,2952,Seagraves (c),23471,L6/7,26810.0,Found,1989,32.98333,-102.56667,3.0
2885,2953,Seeläsgen,23474,"Iron, IAB-MG",102000.0,Found,1847,52.26667,15.55,7.0
2886,2954,Seemore Downs ,23475,L/LL4,429.0,Found,1991,-30.58333,125.21667,1.0
2887,2955,Séguédine,23477,H6,444.0,Found,2002,20.81833,12.97333,1.0
2888,2956,Seguin,23478,H6,750.0,Found,1956,39.36667,-100.63333,1.0
2889,2957,Seibert (a),23479,H5,3500.0,Found,1941,39.3,-102.83333,1.0
2890,2958,Seibert (b),23480,L6,8600.0,Found,1991,39.27667,-102.88667,1.0
2891,2959,Selcany,23482,Iron,20.0,Found,1900,49.75,14.41667,1.0
2892,2960,Selden,23484,LL5,1560.0,Found,1960,39.53333,-100.56667,1.0
2893,2961,Seligman,23485,"Iron, IAB-MG",2200.0,Found,1949,35.28333,-112.86667,1.0
2894,2962,Selma,23486,H4,140600.0,Found,1906,32.4,-87.0,7.0
2895,2963,Seminole,23488,H4,43900.0,Found,1961,32.68333,-102.61667,3.0
2896,2964,Seminole (b),23489,H4,1184.0,Found,1965,32.54333,-102.705,1.0
2897,2965,Seminole (c),23490,H4,1711.0,Found,1967,32.55,-102.39167,1.0
2898,2966,Seminole (d),23491,H6,1710.0,Found,1976,32.71667,-102.65,1.0
2899,2967,Seminole (e),23492,H5,758.2,Found,1977,32.71667,-102.65,1.0
2900,2968,Seminole (f),54436,H5,5421.0,Found,2008,32.70038,-102.67268,1.0
2901,2969,Seminole (g),55293,H5,640.4,Found,1999,32.71667,-102.65,1.0
2902,2970,Seminole Draw (a),23493,L6,478.0,Found,1976,32.71667,-102.65,1.0
2903,2971,Seminole Draw (b),23494,H5,1192.7,Found,1976,32.71667,-102.65,1.0
2904,2972,Seneca,23497,H4,1900.0,Found,1936,39.83333,-96.06667,1.0
2905,2973,Seneca Falls,23498,"Iron, IIIAB",4000.0,Found,1850,42.91667,-76.78333,1.0
2906,2974,Seneca Township,23499,"Iron, IVA",11500.0,Found,1923,41.78333,-84.18333,3.0
2907,2975,Serrania de Varas,23503,"Iron, IVA",1500.0,Found,1875,-24.55,-69.06667,1.0
2908,2976,Seth Ward,23505,H5,3800.0,Found,1977,34.26889,-101.64722,1.0
2909,2977,Sevaruyo,23506,H5,12.37,Found,2001,-19.36775,-66.96787,1.0
2910,2978,Severny Kolchim,23507,H3,1390.0,Found,1965,60.5,57.0,1.0
2911,2979,Seymchan,23510,"Pallasite, PMG",323300.0,Found,1967,62.9,152.43333,7.0
2912,2980,Seymour,23511,"Iron, IAB-MG",25900.0,Found,1940,37.2375,-92.78694,3.0
2913,2981,Shafter Lake,23513,H5,3027.0,Found,1933,32.4,-102.58333,1.0
2914,2982,Shahdad,52642,H5,1074.0,Found,2005,30.55383,57.78417,1.0
2915,2983,Shalim ,23514,LL6,286.0,Found,2000,18.185,55.11,1.0
2916,2984,Shallowater,23522,Aubrite,4650.0,Found,1936,33.7,-101.93333,1.0
2917,2985,Shangdu,23523,"Iron, IIIAB",247000.0,Found,1957,42.5,114.0,7.0
2918,2986,Sharon Springs,23524,L6,23400.0,Found,1983,38.77083,-101.79833,3.0
2919,2987,Shaw,23526,L6/7,17500.0,Found,1937,39.53333,-103.33333,3.0
2920,2988,Sheephole Valley,23527,H4,62.1,Found,1999,34.125,-115.56333,1.0
2921,2989,Sheephole Valley ,23528,L4,4.4,Found,1999,34.125,-115.56333,1.0
2922,2990,Shibayama,23532,L6,235.0,Found,1969,35.765,140.41,1.0
2923,2991,Shields,23533,H5,9780.0,Found,1962,38.7,-100.35,1.0
2924,2992,Shingle Springs,23535,"Iron, ungrouped",39000.0,Found,1869,38.66667,-120.93333,3.0
2925,2993,Shirahagi,23536,"Iron, IVA",22700.0,Found,1890,36.7,137.36667,3.0
2926,2994,Shiraiwa,23537,H4,950.0,Found,1915,39.5,140.2,1.0
2927,2995,Shişr ,23539,L6,936.8,Found,2001,18.508,53.98733,1.0
2928,2996,Shohaku,23580,Iron,101.0,Found,1938,40.31667,126.91667,1.0
2929,2997,Shrewsbury,23581,"Iron, IAB-sLL",12000.0,Found,1907,39.76667,-76.66667,3.0
2930,2998,Sidney,23585,L,6000.0,Found,1941,41.05,-102.9,1.0
2931,2999,Sierra Blanca,23587,"Iron, IAB?",405.0,Found,1784,27.15,-104.9,1.0
2932,3000,Sierra Colorada,23588,L5,71300.0,Found,1995,-40.8,-67.48333,3.0
2933,3001,Sierra County,23589,H5,1000.0,Found,1962,33.0,-107.5,1.0
2934,3002,Sierra Gorda,23590,"Iron, IIAB",26000.0,Found,1898,-22.9,-69.35,3.0
2935,3003,Sierra Sandon,23591,"Iron, IIIAB",6330.0,Found,1923,-25.16667,-69.28333,1.0
2936,3004,Signal Mountain,23592,"Iron, IVA",63500.0,Found,1919,32.5,-115.5,3.0
2937,3005,Silet,45009,L5,971.0,Found,2004,22.78333,4.15,1.0
2938,3006,Silurian Dry Lake,23595,LL6,43.8,Found,2000,35.51752,-116.17607,1.0
2939,3007,Silver Bell,23596,"Iron, IIAB",5100.0,Found,1939,32.48333,-111.56667,1.0
2940,3008,Silver Crown,23597,"Iron, IAB-MG",11600.0,Found,1887,41.23333,-104.98333,3.0
2941,3009,Silver Dry Lake ,23598,L4,218.8,Found,2000,35.37333,-116.125,1.0
2942,3010,Silverton (New South Wales),23600,L6,350.7,Found,1883,-31.88333,141.2,1.0
2943,3011,Silverton (Texas),23601,H4,2576.0,Found,1938,34.53333,-101.18333,1.0
2944,3012,Simbirsk (of P. Partsch),23602,OC,1500.0,Found,1838,54.3,48.4,1.0
2945,3013,Simondium,23604,Mesosiderite-A4,1600.0,Found,1907,-33.85,18.95,1.0
2946,3014,Sinawan ,23607,L6,28600.0,Found,1991,31.0,11.66667,3.0
2947,3015,Singhur,23612,Pallasite?,14180.0,Found,1847,18.31667,73.91667,3.0
2948,3016,Siratik,23615,"Iron, IIAB",1700.0,Found,1716,14.0,-11.0,1.0
