,Unnamed: 0,Unnamed: 0.1,Volcano Name,Eruption Category,VEI,year,Start Month,Start Day,Evidence Method (dating),End Year,End Month,End Day,Latitude,Longitude,Lifetime (years),Start Date,End Date,VEIsize
8450,8450,8464,Tokachidake,Confirmed Eruption,2.0,600,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,43.418,142.686,Lifetime (years) Unknown,600/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8451,8451,8465,Azumayama,Confirmed Eruption,2.0,600,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,37.735,140.244,Lifetime (years) Unknown,600/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8452,8452,8466,Izu-Oshima,Confirmed Eruption,3.0,600,1,1,Varve Count,End Year Unknown,End Month Unknown,End Day Unknown,34.724,139.394,Lifetime (years) Unknown,600/1/1,End Year Unknown/End Month Unknown/End Day Unknown,10.0
8453,8453,8467,Mauna Loa,Confirmed Eruption,0.0,600,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,19.475,-155.608,Lifetime (years) Unknown,600/1/1,End Year Unknown/End Month Unknown/End Day Unknown,1.0
8454,8454,8468,Sheveluch,Confirmed Eruption,5.0,600,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,56.653,161.36,Lifetime (years) Unknown,600/1/1,End Year Unknown/End Month Unknown/End Day Unknown,26.0
8455,8455,8469,Bezymianny,Confirmed Eruption,2.0,600,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,55.972,160.595,Lifetime (years) Unknown,600/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8456,8456,8470,Picos Fissural Volcanic System,Confirmed Eruption,2.0,600,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,37.78,-25.67,Lifetime (years) Unknown,600/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8457,8457,8471,Deception Island,Confirmed Eruption,2.0,600,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,-63.001,-60.652,Lifetime (years) Unknown,600/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8458,8458,8472,Tungurahua,Confirmed Eruption,3.0,600,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,-1.467,-78.442,Lifetime (years) Unknown,600/1/1,End Year Unknown/End Month Unknown/End Day Unknown,10.0
8459,8459,8473,Katla,Confirmed Eruption,2.0,590,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,63.633,-19.083,Lifetime (years) Unknown,590/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8460,8460,8474,"Chichon, El",Confirmed Eruption,3.0,590,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,17.36,-93.228,Lifetime (years) Unknown,590/1/1,End Year Unknown/End Month Unknown/End Day Unknown,10.0
8461,8461,8475,Fuego,Confirmed Eruption,2.0,590,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,14.473,-90.88,Lifetime (years) Unknown,590/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8462,8462,8476,Redoubt,Confirmed Eruption,2.0,580,1,1,Varve Count,End Year Unknown,End Month Unknown,End Day Unknown,60.485,-152.742,Lifetime (years) Unknown,580/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8463,8463,8477,Sheveluch,Confirmed Eruption,4.0,580,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,56.653,161.36,Lifetime (years) Unknown,580/1/1,End Year Unknown/End Month Unknown/End Day Unknown,17.0
8464,8464,8478,Izu-Oshima,Confirmed Eruption,3.0,580,1,1,Varve Count,End Year Unknown,End Month Unknown,End Day Unknown,34.724,139.394,Lifetime (years) Unknown,580/1/1,End Year Unknown/End Month Unknown/End Day Unknown,10.0
8465,8465,8479,Chokaisan,Uncertain Eruption,2.0,577,12,1,Evidence Method (dating) Unknown,578,7,15,39.099,140.049,1.0,577/12/1,578/7/15,5.0
8466,8466,8480,Chokaisan,Uncertain Eruption,2.0,573,3,1,Evidence Method (dating) Unknown,End Year Unknown,End Month Unknown,End Day Unknown,39.099,140.049,Lifetime (years) Unknown,573/3/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8467,8467,8481,Akita-Yakeyama,Confirmed Eruption,2.0,570,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,39.964,140.757,Lifetime (years) Unknown,570/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8468,8468,8482,Augustine,Confirmed Eruption,2.0,570,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,59.363,-153.43,Lifetime (years) Unknown,570/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8469,8469,8483,Etna,Discredited Eruption,2.0,560,1,1,Evidence Method (dating) Unknown,End Year Unknown,End Month Unknown,End Day Unknown,37.748,14.999,Lifetime (years) Unknown,560/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8470,8470,8484,Lanin,Confirmed Eruption,2.0,560,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,-39.637,-71.502,Lifetime (years) Unknown,560/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8471,8471,8485,Asosan,Uncertain Eruption,3.0,553,1,1,Evidence Method (dating) Unknown,End Year Unknown,End Month Unknown,End Day Unknown,32.884,131.104,Lifetime (years) Unknown,553/1/1,End Year Unknown/End Month Unknown/End Day Unknown,10.0
8472,8472,8486,Harunasan,Confirmed Eruption,5.0,550,6,1,Anthropology,End Year Unknown,End Month Unknown,End Day Unknown,36.477,138.851,Lifetime (years) Unknown,550/6/1,End Year Unknown/End Month Unknown/End Day Unknown,26.0
8473,8473,8487,Rausudake,Confirmed Eruption,4.0,550,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,44.076,145.122,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,17.0
8474,8474,8488,Gorely,Confirmed Eruption,3.0,550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,52.559,158.03,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,10.0
8475,8475,8489,Kikhpinych,Confirmed Eruption,3.0,550,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,54.489,160.251,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,10.0
8476,8476,8490,Akutan,Confirmed Eruption,2.0,550,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,54.134,-165.986,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8477,8477,8491,Ichinsky,Confirmed Eruption,2.0,550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,55.678,157.718,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8478,8478,8492,Tolbachik,Confirmed Eruption,3.0,550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,55.832,160.326,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,10.0
8479,8479,8493,Klyuchevskoy,Confirmed Eruption,2.0,550,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,56.056,160.642,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8480,8480,8494,Mauna Loa,Confirmed Eruption,0.0,550,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,19.475,-155.608,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,1.0
8481,8481,8495,Ata,Confirmed Eruption,2.0,550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,31.22,130.57,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8482,8482,8496,Stromboli,Confirmed Eruption,3.0,550,1,1,Historical Observations,End Year Unknown,End Month Unknown,End Day Unknown,38.789,15.213,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,10.0
