,Volcano Name,Eruption Category,VEI,Start Year,Start Month,Start Day,Evidence Method (dating),End Year,End Month,End Day,Latitude,Longitude,Lifetime (years),Start Date,End Date
9875,Terceira,Confirmed Eruption,VEI Unknown,-2530,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,38.73,-27.32,,-2530/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9876,Avachinsky,Confirmed Eruption,4.0,-2530,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,53.256,158.836,,-2530/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9877,Sheveluch,Confirmed Eruption,3.0,-2530,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,56.653,161.36,,-2530/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9878,Mauna Kea,Confirmed Eruption,VEI Unknown,-2540,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,19.82,-155.47,,-2540/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9879,Katla,Confirmed Eruption,VEI Unknown,-2540,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,63.633,-19.083,,-2540/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9880,Oddnyjarhnjukur-Langjokull,Confirmed Eruption,0.0,-2550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,64.85,-19.7,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9881,Dona Juana,Confirmed Eruption,4.0,-2550,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,1.5,-76.936,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9882,Cuicocha,Confirmed Eruption,VEI Unknown,-2550,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,0.308,-78.364,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9883,Apoyeque,Confirmed Eruption,5.0,-2550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,12.242,-86.342,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9884,Momotombo,Confirmed Eruption,VEI Unknown,-2550,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,12.423,-86.539,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9885,Shasta,Confirmed Eruption,VEI Unknown,-2550,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,41.409,-122.193,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9886,Rainier,Confirmed Eruption,3.0,-2550,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,46.853,-121.76,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9887,Aniakchak,Confirmed Eruption,VEI Unknown,-2550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,56.88,-158.17,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9888,Amak,Confirmed Eruption,VEI Unknown,-2550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,55.424,-163.149,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9889,Hachijojima,Confirmed Eruption,3.0,-2550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,33.137,139.766,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9890,Izu-Oshima,Confirmed Eruption,VEI Unknown,-2550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,34.724,139.394,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9891,Fujisan,Confirmed Eruption,VEI Unknown,-2550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,35.361,138.728,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9892,Yakedake,Confirmed Eruption,0.0,-2550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,36.227,137.587,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9893,Hakusan,Confirmed Eruption,VEI Unknown,-2550,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,36.155,136.771,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9894,Asamayama,Confirmed Eruption,4.0,-2550,1,1,Anthropology,End Year Unknown,End Month Unknown,End Day Unknown,36.406,138.523,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9895,Asosan,Confirmed Eruption,1.0,-2550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,32.884,131.104,,-2550/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9896,Craters of the Moon,Confirmed Eruption,0.0,-2560,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,43.42,-113.5,,-2560/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9897,Haleakala,Confirmed Eruption,VEI Unknown,-2580,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,20.708,-156.25,,-2580/1/1,End Year Unknown/End Month Unknown/End Day Unknown
